idx,transformer_model,n_neighbors,n_components,min_dist,min_cluster_size,cluster_selection_method,ngram_range,coherence,topic_diversity,silhouette_score,n_topics,n_outlier_pubs
90,BAAI/bge-large-en-v1.5,13,7,0.05,8,eom,"(1, 4)",0.825640884,0.88,0.032715753,5,1
91,BAAI/bge-large-en-v1.5,15,9,0,8,eom,"(1, 4)",0.825640884,0.88,0.032715753,5,1
92,BAAI/bge-large-en-v1.5,15,5,0.1,8,eom,"(1, 4)",0.82521221,0.94,0.03749335,5,17
93,BAAI/bge-large-en-v1.5,17,7,0,7,eom,"(1, 4)",0.825106397,0.98,0.034993086,5,9
94,BAAI/bge-large-en-v1.5,17,7,0.05,8,eom,"(1, 4)",0.825083139,0.96,0.035873305,5,11
95,BAAI/bge-large-en-v1.5,7,7,0.1,8,eom,"(1, 4)",0.82385545,0.85,0.030603692,6,10
96,BAAI/bge-large-en-v1.5,13,15,0,5,eom,"(1, 4)",0.822711052,0.94,0.033208635,5,2
97,BAAI/bge-large-en-v1.5,15,15,0.1,8,eom,"(1, 4)",0.822511229,0.833333333,0.039647415,6,30
98,BAAI/bge-large-en-v1.5,13,5,0.05,6,eom,"(1, 4)",0.819484644,0.96,0.03345384,5,3
99,BAAI/bge-large-en-v1.5,9,15,0.05,10,eom,"(1, 4)",0.818685792,0.933333333,0.10442222,3,1
100,BAAI/bge-large-en-v1.5,9,15,0,13,eom,"(1, 4)",0.817612405,0.966666667,0.10211704,3,1
101,BAAI/bge-large-en-v1.5,5,9,0.05,8,eom,"(1, 3)",0.817365458,1,0.044844396,2,361
102,BAAI/bge-large-en-v1.5,15,17,0.1,5,eom,"(1, 3)",0.816509189,0.975,0.043147378,4,1
103,BAAI/bge-large-en-v1.5,15,13,0.1,8,eom,"(1, 3)",0.816509189,0.975,0.043147378,4,1
104,BAAI/bge-large-en-v1.5,15,5,0.1,8,eom,"(1, 3)",0.814288388,0.94,0.03749335,5,17
105,BAAI/bge-large-en-v1.5,20,17,0.1,5,eom,"(1, 3)",0.813938696,0.94,0.033141237,5,6
106,BAAI/bge-large-en-v1.5,15,5,0.1,7,eom,"(1, 3)",0.813867848,0.96,0.036293607,5,14
107,BAAI/bge-large-en-v1.5,13,9,0.1,5,eom,"(1, 3)",0.813822608,0.828571429,0.037398633,7,8
108,BAAI/bge-large-en-v1.5,13,13,0.1,8,eom,"(1, 4)",0.812922501,0.766666667,0.035317056,6,21
109,BAAI/bge-large-en-v1.5,13,9,0,10,eom,"(1, 2)",0.812184067,0.933333333,0.10691476,3,1
110,BAAI/bge-large-en-v1.5,13,7,0.1,5,eom,"(1, 4)",0.811310363,0.88,0.033084884,5,3
111,BAAI/bge-large-en-v1.5,9,9,0,8,eom,"(1, 4)",0.811310363,0.88,0.033084884,5,3
112,BAAI/bge-large-en-v1.5,15,17,0,20,eom,"(1, 4)",0.811044011,1,0.10737344,3,6
113,BAAI/bge-large-en-v1.5,13,9,0.1,5,eom,"(1, 4)",0.810625452,0.828571429,0.037398633,7,8
114,BAAI/bge-large-en-v1.5,15,9,0.1,8,eom,"(1, 4)",0.808847588,0.833333333,0.03715504,6,27
115,BAAI/bge-large-en-v1.5,15,5,0.05,8,eom,"(1, 3)",0.807112331,0.94,0.035716295,5,12
116,BAAI/bge-large-en-v1.5,20,17,0.1,8,eom,"(1, 4)",0.8068612,0.828571429,0.058313645,7,73
117,BAAI/bge-large-en-v1.5,17,7,0,8,eom,"(1, 3)",0.80680516,0.94,0.036242876,5,13
118,BAAI/bge-large-en-v1.5,17,7,0.1,8,eom,"(1, 3)",0.806754809,0.94,0.036175225,5,14
119,BAAI/bge-large-en-v1.5,17,7,0,7,eom,"(1, 3)",0.806644667,0.98,0.034993086,5,9
120,BAAI/bge-large-en-v1.5,15,5,0.1,6,eom,"(1, 3)",0.806642708,0.94,0.03512804,5,10
121,BAAI/bge-large-en-v1.5,17,7,0.05,8,eom,"(1, 3)",0.80663644,0.96,0.035873305,5,11
122,BAAI/bge-large-en-v1.5,13,13,0.05,8,eom,"(1, 3)",0.805248703,0.833333333,0.03489334,6,16
123,BAAI/bge-large-en-v1.5,7,7,0.1,8,eom,"(1, 3)",0.804686989,0.866666667,0.030603692,6,10
124,BAAI/bge-large-en-v1.5,13,13,0,9,eom,"(1, 4)",0.804286543,0.975,0.058270585,4,11
125,BAAI/bge-large-en-v1.5,15,17,0.05,5,eom,"(1, 3)",0.803731029,0.92,0.0328832,5,1
126,BAAI/bge-large-en-v1.5,15,15,0.1,8,eom,"(1, 3)",0.803091249,0.833333333,0.039647415,6,30
127,BAAI/bge-large-en-v1.5,5,15,0,8,eom,"(1, 4)",0.802807692,0.866666667,0.030848753,6,4
128,BAAI/bge-large-en-v1.5,5,15,0.05,7,eom,"(1, 4)",0.802807692,0.866666667,0.030848753,6,4
129,BAAI/bge-large-en-v1.5,5,15,0.05,8,eom,"(1, 4)",0.802807692,0.866666667,0.030848753,6,4
130,BAAI/bge-large-en-v1.5,15,20,0.05,9,eom,"(1, 4)",0.802505171,1,0.10940217,3,10
131,BAAI/bge-large-en-v1.5,17,13,0.05,13,eom,"(1, 4)",0.802505171,1,0.10940217,3,10
132,BAAI/bge-large-en-v1.5,13,9,0,5,eom,"(1, 3)",0.801581816,0.814285714,0.038542587,7,13
133,BAAI/bge-large-en-v1.5,20,15,0,10,eom,"(1, 4)",0.800667063,1,0.11181102,3,14
134,BAAI/bge-large-en-v1.5,9,7,0.1,7,eom,"(1, 4)",0.800654638,0.975,-0.016584335,4,3
135,BAAI/bge-large-en-v1.5,13,5,0.05,6,eom,"(1, 3)",0.800119508,0.96,0.03345384,5,3
136,BAAI/bge-large-en-v1.5,13,15,0,5,eom,"(1, 3)",0.799810515,0.94,0.033208635,5,2
137,BAAI/bge-large-en-v1.5,13,9,0,5,eom,"(1, 4)",0.799499003,0.814285714,0.038542587,7,13
138,BAAI/bge-large-en-v1.5,13,7,0.05,8,eom,"(1, 3)",0.799131139,0.88,0.032715753,5,1
